Price,Title,Condition,Kilometers,Year:,Drivetrain:,Make:,Transmission:,Model:,Fuel Type:,Colour:,Body Type:
"$18,990.00 ", 2019 Dodge Journey SE AUT0 A/C TOW PKG BLUETOOTH BACKUP CAMERA,Used,"154,208",2019,Front-wheel drive (FWD),Dodge,Automatic,Journey,Gasoline,Black,"SUV, Crossover"
"$24,590.00 ","2019 Honda Civic Sedan EX w/ Moonroof, Apple CarPlay, Honda Lane",Used,"67,049",2019,Front-wheel drive (FWD),Honda,Automatic,Civic,Other,Black,Sedan
"$6,500.00 ",2008 Acura TL,Used,"290,000",2008,,Acura,Automatic,TL,Gasoline,Black,Sedan
0, 2020 Volkswagen Tiguan,Used,"111,642",2020,All-wheel drive (AWD),Volkswagen,Automatic,Tiguan,Gasoline,Other,"SUV, Crossover"
"$43,990.00 ",2020 Chevrolet Express Cargo Van 2500 155 |LEATHER SEATS,Used,"96,506",2020,Rear-wheel drive (RWD),Chevrolet,Automatic,Express,Gasoline,White,"Minivan, Van"
0, 2020 Kia Sportage EX,Used,"75,227",2020,All-wheel drive (AWD),Kia,Automatic,Sportage,Gasoline,Red,"SUV, Crossover"
"$24,999.00 ", 2014 Ford F-150 XLT Reg Cab 8ft Long Box 4X4 V8 Low 91km !!,Used,"91,421",2014,4 x 4,Ford,Automatic,F-150,Gasoline,Black,Pickup Truck
"$21,995.00 ",2016 Honda Civic EX Sunroof | Back up Camera | Heated Seats,Used,"105,000",2016,Front-wheel drive (FWD),Honda,Automatic,Civic,Gasoline,Grey,Sedan
"$48,933.00 ", 2019 Ram 3500 BIG HORN 4X4 8' BOX | BACKUP CAM | BLUETOOTH,Used,"49,829",2019,4 x 4,Ram,Automatic,3500,Gasoline,Silver,Pickup Truck
"$30,990.00 ", 2020 Nissan Rogue SV AWD w/PwrSeat/HtdSeats/RemoteStrt/AdaptvCr,Used,"52,471",2020,All-wheel drive (AWD),Nissan,Automatic,Rogue,Gasoline,Black,"SUV, Crossover"
"$10,595.00 ", 2012 Ford Focus SE,Used,"89,877",2012,Front-wheel drive (FWD),Ford,,Focus,Gasoline,Silver,Hatchback
"$19,990.00 ",2017 Dodge Grand Caravan CVP/SXT,Used,"155,000",2017,Front-wheel drive (FWD),Dodge,Automatic,Grand Caravan,Gasoline,White,Other
"$12,499.00 "," 2014 Mazda MAZDA3 GS-SKY ** BACK CAM, HTD SEATS, BLUETOOTH **",Used,"176,815",2014,Front-wheel drive (FWD),Mazda,Automatic,3,Gasoline,Red,Sedan
"$11,995.00 ",2016 Nissan Sentra SV | CERTIFIED | SUNROOF | BACKUP CAMERA |,Used,"163,642",2016,Front-wheel drive (FWD),Nissan,Automatic,Sentra,Gasoline,White,Sedan
"$35,500.00 ", 2020 Honda CR-V EX-L AWD,Used,"56,210",2020,All-wheel drive (AWD),Honda,Automatic,CR-V,Gasoline,Grey,"SUV, Crossover"
"$33,495.00 ", 2019 Dodge Charger EXCELLENT CONDITION MUST SEE WE FINANCE ALL ,Used,"73,125",2019,Rear-wheel drive (RWD),Dodge,Automatic,Charger,Gasoline,Black,Sedan
"$27,500.00 ", 2020 Honda Civic,Used,"65,621",2020,Other,Honda,Automatic,Civic,Gasoline,Blue,Sedan
"$43,500.00 ", 2020 Acura MDX SH-AWD,Used,"36,180",2020,All-wheel drive (AWD),Acura,Automatic,MDX,Gasoline,Black,"SUV, Crossover"
"$8,495.00 ", 2006 Buick Allure CX,Used,"75,368",2006,Front-wheel drive (FWD),Buick,Automatic,Allure,Gasoline,Other,Sedan
"$37,811.00 ", 2019 Lincoln Nautilus Reserve | PANO ROOF | 360 CAM | NAV,Used,"62,882",2019,All-wheel drive (AWD),Lincoln,Automatic,Other,Gasoline,Beige,"SUV, Crossover"
"$36,795.00 ", 2019 Cadillac XT5 Luxury AWD,Used,"56,842",2019,All-wheel drive (AWD),Cadillac,Automatic,XT5,Gasoline,Blue,"SUV, Crossover"
"$51,944.00 ",2022 Jeep Cherokee Altitude,Used,23,2022,4 x 4,Jeep,Automatic,Cherokee,Other,Grey,"SUV, Crossover"
"$37,888.00 ", 2019 Mercedes-Benz C-Class C300 4MATIC|COUPE|AMG PKG|NAVIGATION,Used,"29,500",2019,All-wheel drive (AWD),Mercedes-Benz,Automatic,C-Class,Gasoline,Silver,Coupe (2 door)
"$66,113.00MSRP: $66,113.00",2024 Chevrolet Silverado 1500 Custom- $431 B/W,New,0,2024,4 x 4,Chevrolet,Automatic,Silverado 1500,Gasoline,Grey,Pickup Truck
"$33,495.00 ", 2019 Toyota RAV4 XLE,Used,"44,830",2019,Front-wheel drive (FWD),Toyota,Automatic,RAV4,Gasoline,White,"SUV, Crossover"
"$15,885.00 ",2013 Mercedes-Benz GLK-Class 4MATIC 4dr GLK 350 Leather/Heated S,Used,"170,000",2013,All-wheel drive (AWD),Mercedes-Benz,Automatic,GLK-Class,Gasoline,White,"SUV, Crossover"
"$114,630.00MSRP: $114,630.00",2024 Ram 2500 LIMITED,New,0,2024,Other,Ram,Automatic,2500,Diesel,Other,Pickup Truck
Please Contact, 2019 Mercedes-Benz GLC-Class 4MATIC | PREM + SPORT PKG | PANO R,Used,"100,401",2019,All-wheel drive (AWD),Mercedes-Benz,Automatic,GLC,Gasoline,White,"SUV, Crossover"
"$35,000.00 ",Honda S2000,Used,"85,000",2004,,Honda,,S2000,,,Convertible
"$15,988.00 ",2009 Ford F-150 XLT   TONNEAU   RUNNING BOARDS   AUX   NO ACCIDE,Used,"122,239",2009,Other,Ford,Automatic,F-150,Other,Red,Pickup Truck
"$24,999.00 ", 2020 Ford F-150 XLT SuperCab 8ft Long Box 4X4 P-Seat Rear Cam,Used,"234,963",2020,4 x 4,Ford,Automatic,F-150,Gasoline,Blue,Pickup Truck
"$45,950.00 ",2023 Jeep Cherokee Trailhawk SPECIAL PURCHASE/TOW PACKAGE/PAN...,Used,54,2023,4 x 4,Jeep,Automatic,Cherokee,Gasoline,Black,"SUV, Crossover"
"$28,900.00 ", 2021 Honda Civic,Used,"77,825",2021,Other,Honda,Automatic,Civic,Gasoline,Grey,Sedan
"$106,278.00 ",2024 RAM 2500 Laramie 4x4 Mega Cab 6'4 Box Sunroof Nav Safety,New,0,2024,4 x 4,Ram,Automatic,2500,Gasoline,Black,Pickup Truck
"$18,900.00 ", 2018 Hyundai Elantra Limited,Used,"67,951",2018,Front-wheel drive (FWD),Hyundai,,Elantra,Gasoline,Red,Sedan
"$5,800.00 ",2011 subaru outback,Used,"306,659",2011,All-wheel drive (AWD),Subaru,Automatic,Outback,Gasoline,White,Wagon
"$28,900.00 ", 2019 Acura ILX Sedan,Used,"32,660",2019,Front-wheel drive (FWD),Acura,,ILX,Gasoline,White,Sedan
